Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 18.65      0.11     0.11 12570238     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
 11.87      0.18     0.07  4426038     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
 11.87      0.25     0.07  8144137     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(unsigned long*, unsigned int)
 10.17      0.31     0.06  4426038     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  8.48      0.36     0.05  3718239     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  6.78      0.40     0.04  3718141     0.00     0.00  std::_Bit_reference::operator bool() const
  6.78      0.44     0.04  3718141     0.00     0.00  std::_Bit_const_iterator::operator*() const
  6.78      0.48     0.04  3718092     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long) const
  6.78      0.52     0.04        1    40.02   580.24  scheduleInteral(std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > const&, unsigned long, unsigned long, std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >&, unsigned long*&, unsigned int*&, unsigned long, unsigned long)
  5.09      0.55     0.03  4426038     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  1.70      0.56     0.01  4426038     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  1.70      0.57     0.01  4426031     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  1.70      0.58     0.01   176780     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::size() const
  0.00      0.58     0.00   707932     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::operator[](unsigned long) const
  0.00      0.58     0.00   531176     0.00     0.00  std::vector<std::vector<unsigned int, std::allocator<unsigned int> >, std::allocator<std::vector<unsigned int, std::allocator<unsigned int> > > >::operator[](unsigned long)
  0.00      0.58     0.00   531155     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  0.00      0.58     0.00   176773     0.00     0.00  init_vec_workert(unsigned long, unsigned int*&, unsigned long)
  0.00      0.58     0.00      147     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  0.00      0.58     0.00      126     0.00     0.00  unsigned int* std::__niter_base<unsigned int*>(unsigned int*)
  0.00      0.58     0.00       98     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.58     0.00       98     0.00     0.00  std::_Bit_iterator::operator++()
  0.00      0.58     0.00       98     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.58     0.00       84     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      0.58     0.00       84     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.58     0.00       63     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::max_size() const
  0.00      0.58     0.00       63     0.00     0.00  unsigned int const& std::forward<unsigned int const&>(std::remove_reference<unsigned int const&>::type&)
  0.00      0.58     0.00       56     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      0.58     0.00       51     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.58     0.00       49     0.00     0.00  std::_Bit_const_iterator::operator++()
  0.00      0.58     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.00      0.58     0.00       42     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      0.58     0.00       42     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::max_size() const
  0.00      0.58     0.00       42     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.58     0.00       42     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&)
  0.00      0.58     0.00       42     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      0.58     0.00       42     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_relocate(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
